osm_id,id,lon,lat
c1,1,-123.134946,49.33806
c1,2,-123.134992,49.337625
c1,3,-123.134992,49.337338
c1,4,-123.134971,49.336953
c1,5,-123.134939,49.336561
c1,6,-123.134918,49.336114
c1,7,-123.134864,49.335687
c1,8,-123.134885,49.335016
c1,9,-123.134917,49.33417
c1,10,-123.134906,49.33338
c1,11,-123.134938,49.332492
c1,12,-123.134938,49.331674
c1,13,-123.13497,49.330793
c1,14,-123.134959,49.329863
c1,15,-123.134938,49.329003
c1,16,-123.134906,49.328227
c1,17,-123.134927,49.327563
c1,18,-123.134938,49.327073
c2,1,-123.134938,49.327073
c2,2,-123.133672,49.327122
c2,3,-123.133404,49.327108
c2,4,-123.133147,49.327066
c2,5,-123.132235,49.326856
c2,6,-123.131345,49.326639
c2,7,-123.130658,49.326499
c2,8,-123.130046,49.326366
c3,1,-123.215598,49.34689
c3,2,-123.215231,49.346991
c3,3,-123.214874,49.34704
c3,4,-123.214549,49.347049
c3,5,-123.214243,49.347033
c3,6,-123.213961,49.346993
c3,7,-123.213682,49.346941
c3,8,-123.213419,49.346871
c3,9,-123.213089,49.346773
c3,10,-123.212469,49.346597
c4,1,-123.097385,49.315935
c4,2,-123.097161,49.315973
c4,3,-123.096941,49.316071
c4,4,-123.096818,49.316197
c4,5,-123.096786,49.316351
c4,6,-123.096883,49.316512
c4,7,-123.09706,49.316585
c4,8,-123.097296,49.316609
c4,9,-123.098337,49.316605
c4,10,-123.099415,49.316622
c4,11,-123.099683,49.316601
c4,12,-123.099871,49.316507
c4,13,-123.099968,49.316343
c4,14,-123.099957,49.316217
c4,15,-123.099887,49.316098
c4,16,-123.099731,49.316014
c4,17,-123.099516,49.315962
c4,18,-123.098695,49.315958
c4,19,-123.097976,49.315944
c4,20,-123.097348,49.315933
c5,1,-123.034904,49.310644
c5,2,-123.035078,49.310513
c5,3,-123.035293,49.310361
c6,1,-123.030543,49.304736
c6,2,-123.029862,49.30461
c6,3,-123.029253,49.304553
c6,4,-123.028076,49.304591
c6,5,-123.027841,49.304604
c6,6,-123.027657,49.304565
c6,7,-123.027484,49.304467
c6,8,-123.027341,49.304349
c6,9,-123.027098,49.303988
c6,10,-123.026945,49.303753
c6,11,-123.026815,49.303667
c6,12,-123.026747,49.303492
c7,1,-123.071907,49.331674
c7,2,-123.070953,49.331702
c7,3,-123.069859,49.331716
c7,4,-123.068797,49.331712
c8,1,-123.130141,49.326362
c8,2,-123.129815,49.326135
c8,3,-123.129622,49.325911
c8,4,-123.129606,49.325687
c8,5,-123.129697,49.325474
c8,6,-123.129965,49.325117
c8,7,-123.130099,49.324813
c8,8,-123.130281,49.324519
c8,9,-123.130453,49.324274
c8,10,-123.131247,49.323424
c8,11,-123.13306,49.321472
c8,12,-123.135898,49.318348
c8,13,-123.138097,49.315935
c8,14,-123.139513,49.314375
c8,15,-123.140436,49.313382
c9,1,-123.130096,49.324725
c9,2,-123.129755,49.325026
c9,3,-123.129481,49.325197
c9,4,-123.129213,49.325421
c9,5,-123.128827,49.325599
c9,6,-123.128328,49.325697
c9,7,-123.127877,49.325686
c9,8,-123.127308,49.325592
c10,1,-123.117192,49.331471
c10,2,-123.116505,49.331467
c10,3,-123.115904,49.33147
c10,4,-123.115464,49.331526
c10,5,-123.115201,49.331725
c10,6,-123.115153,49.332068
c11,1,-123.261151,49.343795
c11,2,-123.261281,49.343924
c11,3,-123.261675,49.344022
c11,4,-123.261965,49.344074
c11,5,-123.26215,49.344032
c11,6,-123.262276,49.343934
c11,7,-123.262327,49.343822
c11,8,-123.262297,49.343714
c11,9,-123.262217,49.343623
c11,10,-123.262027,49.343553
c11,11,-123.261788,49.343565
c11,12,-123.261525,49.343652
c11,13,-123.261147,49.343794
c12,1,-123.237584,49.339221
c12,2,-123.237264,49.339102
c12,3,-123.236996,49.33899
c12,4,-123.23683,49.338808
c13,1,-123.183984,49.345971
c13,2,-123.183579,49.345989
c13,3,-123.18322,49.345982
c13,4,-123.183027,49.345963
c14,1,-123.174193,49.346028
c14,2,-123.17466,49.345921
c14,3,-123.175154,49.345856
c14,4,-123.175672,49.345835
c14,5,-123.176174,49.345835
c14,6,-123.17655,49.345852
c14,7,-123.176816,49.345815
c15,1,-123.175669,49.345838
c15,2,-123.175291,49.34596
c15,3,-123.175068,49.346033
c15,4,-123.175022,49.346208
c15,5,-123.175019,49.346341
c16,1,-123.170946,49.345602
c16,2,-123.171504,49.345611
c16,3,-123.17166,49.345555
c16,4,-123.171971,49.345185
c16,5,-123.172057,49.345108
c16,6,-123.17217,49.345089
c16,7,-123.173503,49.345105
c16,8,-123.173648,49.345089
c16,9,-123.173763,49.345044
c16,10,-123.17386,49.344971
c17,1,-123.038903,49.334323
c17,2,-123.03889,49.334533
c17,3,-123.03892,49.334734
