osm_id,id,complete_dt_update
60193872,1,2023-01-07
880709278,1,2023-01-07
880709278,2,2023-01-07
48568947,1,2023-01-08
c4,9,2023-01-09
c4,11,2023-01-09
c4,12,2023-01-09
c4,13,2023-01-09
c4,14,2023-01-09
c4,15,2023-01-09
c4,17,2023-01-09
779431609,2,2023-01-09
856862172,3,2023-01-09
856862172,2,2023-01-09
856862172,1,2023-01-09
167684948,2,2023-01-09
167684948,3,2023-01-09
167684948,4,2023-01-09
45736253,1,2023-01-15
45736262,1,2023-01-15
45736236,5,2023-01-15
45736236,6,2023-01-15
45736236,7,2023-01-15
45736236,10,2023-01-15
1131086321,1,2023-01-16
1131086321,2,2023-01-16
76969842,8,2023-01-16
76969842,9,2023-01-16
76969842,6,2023-01-16
76969842,7,2023-01-16
76969842,4,2023-01-16
76969842,5,2023-01-16
23675869,9,2023-01-16
23690366,21,2023-01-16
76969842,2,2023-01-16
76969842,1,2023-01-16
377508157,2,2023-01-16
519549914,16,2023-01-16
519549914,12,2023-01-16
23690360,3,2023-01-16
394990996,5,2023-01-16
394990996,4,2023-01-16
23690365,13,2023-01-16
23690346,1,2023-01-16
23686835,2,2023-01-16
76969842,3,2023-01-16
377508157,1,2023-01-16
377508157,3,2023-01-16
23926090,1,2023-01-22
23704568,3,2023-01-22
23655730,1,2023-01-23
405945568,3,2023-01-26
205719818,3,2023-01-26
205719818,4,2023-01-26
205719818,5,2023-01-26
23614862,1,2023-01-26
48608355,7,2023-02-02
23797370,1,2023-02-05
469059402,3,2023-02-10
469059402,4,2023-02-10
271036609,2,2023-02-10
271036609,3,2023-02-10
23622545,1,2023-02-15
23622545,2,2023-02-15
23614625,6,2023-02-23
23614625,7,2023-02-23
510398989,5,2023-02-27
24037111,5,2023-02-27
1054962351,3,2023-02-27
1054962351,4,2023-02-27
1054962351,5,2023-02-27
475247610,1,2023-02-27
475247610,2,2023-02-27
475247610,3,2023-02-27
475247610,4,2023-02-27
475247610,5,2023-02-27
24037111,4,2023-02-27
1039751990,4,2023-03-09
23809925,57,2023-03-09
23809925,58,2023-03-09
508134094,2,2023-04-02
508134094,3,2023-04-02
161098586,6,2023-04-02
508122259,2,2023-04-02
23803408,13,2023-04-02
508122259,4,2023-04-02
508122259,1,2023-04-02
508122259,3,2023-04-02
23603935,3,2023-04-03
906702554,2,2023-04-03
508408273,1,2023-04-03
23603698,2,2023-04-03
1127859871,2,2023-04-03
779431609,1,2023-04-03
24006696,1,2023-04-06
23661596,1,2023-04-06
60193878,3,2023-04-13
23614299,4,2023-04-13
23614299,3,2023-04-13
23625830,2,2023-04-16
23625828,3,2023-04-16
191824755,3,2023-04-16
84508215,7,2023-04-16
23946228,29,2023-04-18
23614418,1,2023-04-18
24007135,1,2023-04-24
48608363,3,2023-04-25
48608364,1,2023-04-25
23946841,1,2023-04-27
23661377,16,2023-04-27
1054939350,1,2023-04-28
479465822,2,2023-04-28
23661013,2,2023-05-01
59432713,15,2023-05-02
59432713,17,2023-05-02
23661625,2,2023-05-05
23614545,1,2023-05-08
23797403,4,2023-05-10
23797325,22,2023-05-12
23797325,23,2023-05-12
508671804,1,2023-05-12
508671804,2,2023-05-12
192563299,3,2023-05-12
173684591,1,2023-05-12
221518924,2,2023-05-12
23701653,3,2023-05-12
23612669,2,2023-05-15
23612669,3,2023-05-15
24006744,19,2023-05-16
24006744,18,2023-05-16
24006744,16,2023-05-16
24006744,14,2023-05-16
24006744,5,2023-05-16
24006744,4,2023-05-16
24006744,3,2023-05-16
23489734,1,2023-05-16
23797325,12,2023-05-18
48473172,3,2023-05-18
28317069,26,2023-05-20
682056528,6,2023-05-22
682056528,7,2023-05-22
682056528,8,2023-05-22
682056528,9,2023-05-22
682056528,10,2023-05-22
682056528,11,2023-05-22
23660810,3,2023-05-22
23660810,2,2023-05-22
23660810,1,2023-05-22
682056528,12,2023-05-22
682056528,13,2023-05-22
,,
,,
,,
